"","GEO","Sex","Age","Degree","VALUE","Year","LFS","pct"
"1","Newfoundland and Labrador","Both sexes","15 years and over","Total, all education levels",226.6,"2019","Employment",1.1891455050195
"2","Prince Edward Island","Both sexes","15 years and over","Total, all education levels",78,"2019","Employment",0.409326343298855
"3","Nova Scotia","Both sexes","15 years and over","Total, all education levels",466.1,"2019","Employment",2.44598728989226
"4","New Brunswick","Both sexes","15 years and over","Total, all education levels",356.7,"2019","Employment",1.87188085454746
"5","Quebec","Both sexes","15 years and over","Total, all education levels",4339.9,"2019","Employment",22.7748127856757
"6","Ontario","Both sexes","15 years and over","Total, all education levels",7452.6,"2019","Employment",39.109557770116
"7","Manitoba","Both sexes","15 years and over","Total, all education levels",653.4,"2019","Employment",3.42889529117272
"8","Saskatchewan","Both sexes","15 years and over","Total, all education levels",580.4,"2019","Employment",3.04580781603405
"9","Alberta","Both sexes","15 years and over","Total, all education levels",2343,"2019","Employment",12.2955336198618
"10","British Columbia","Both sexes","15 years and over","Total, all education levels",2559,"2019","Employment",13.4290527243817
